cost_id,item_id,period,material_cost,labor_cost,overhead_cost
COST-3001,PROD-A,2026-01,23058.39,9974.47,4980.96
COST-3002,PROD-A,2026-02,20039.12,9634.21,4449.07
COST-3003,PROD-A,2026-03,23316.94,9877.86,4201.44
COST-3004,PROD-A,2026-04,20577.14,8214.07,4829.84
COST-3013,PROD-B,2026-01,21361.74,9209.66,5076.42
COST-3014,PROD-B,2026-02,21017.99,9268.48,4395.98
COST-3015,PROD-B,2026-03,22442.66,9810.67,5269.16
COST-3016,PROD-B,2026-04,20461.49,8847.15,4415.02
COST-3025,P-203,2026-01,20017.73,9542.24,4955.67
COST-3026,P-203,2026-02,21309.78,9482.46,4827.52
COST-3027,P-203,2026-03,22138.43,8019.34,4112.87
COST-3028,P-203,2026-04,24415.53,9807.86,4818.39
COST-3037,P-204,2026-01,24172.98,9165.02,4222.14
COST-3038,P-204,2026-02,20637.23,8616.52,5348.47
COST-3039,P-204,2026-03,23980.61,9721.41,5348.39
COST-3040,P-204,2026-04,21050.38,8499.06,4154.19
COST-3049,P-301,2026-01,23900.58,9768.27,4609.57
COST-3050,P-301,2026-02,23103.31,8309.11,5394.82
COST-3051,P-301,2026-03,24323.03,9952.41,5216.16
COST-3052,P-301,2026-04,24407.08,8049.57,5104.85
