po_id,supplier_id,item_id,order_date,delivery_date,quantity,unit_price,status
PO-1000,S-07,P-204,2026-03-23,2026-03-27,62,4593.24,RECEIVED
PO-1001,S-02,P-203,2026-01-29,2026-02-03,427,4082.0,CLOSED
PO-1002,S-07,P-204,2026-03-11,2026-03-15,352,4337.54,RECEIVED
PO-1003,S-02,P-203,2026-01-12,2026-01-18,169,4404.28,RECEIVED
PO-1004,S-07,P-204,2026-03-13,2026-03-19,416,4519.91,CLOSED
PO-1005,S-02,P-203,2026-02-23,2026-03-01,279,4471.41,RECEIVED
PO-1006,S-07,P-204,2026-04-08,2026-04-13,407,4338.09,OPEN
PO-1007,S-02,P-203,2026-01-20,2026-01-26,440,4269.28,RECEIVED
PO-1008,S-02,P-203,2026-02-18,2026-02-22,233,4678.0,CLOSED
PO-1009,S-02,P-203,2026-02-03,2026-02-06,423,4367.54,RECEIVED
PO-1010,S-02,P-203,2026-02-18,2026-02-22,332,4234.54,CLOSED
PO-1011,S-07,P-204,2026-03-21,2026-03-29,345,4153.83,RECEIVED
PO-1012,S-02,P-203,2026-01-06,2026-01-19,166,4618.45,RECEIVED
PO-1013,S-07,P-204,2026-04-20,2026-04-26,493,4080.8,OPEN
PO-1014,S-02,P-203,2026-02-28,2026-03-13,477,4291.87,OPEN
PO-1015,S-02,P-203,2026-02-15,2026-02-21,393,4213.58,CLOSED
PO-1016,S-07,P-204,2026-03-24,2026-03-28,361,4507.98,CLOSED
PO-1017,S-07,P-204,2026-04-04,2026-04-10,133,4369.81,OPEN
PO-1018,S-07,P-204,2026-03-23,2026-04-06,335,4175.69,OPEN
PO-1019,S-07,P-204,2026-04-18,2026-04-21,167,4657.44,OPEN
PO-1020,S-07,P-204,2026-02-21,2026-02-28,83,4168.79,CLOSED
PO-1021,S-07,P-204,2026-04-02,2026-04-10,158,4524.35,OPEN
PO-1022,S-07,P-204,2026-03-24,2026-04-03,123,4211.9,RECEIVED
PO-1023,S-07,P-204,2026-04-06,2026-04-17,325,4210.19,CLOSED
PO-1024,S-07,P-204,2026-02-24,2026-03-08,254,4289.6,RECEIVED
PO-1025,S-07,P-204,2026-03-07,2026-03-17,96,4604.63,RECEIVED
PO-1026,S-07,P-204,2026-01-20,2026-02-02,131,4633.66,OPEN
PO-1027,S-07,P-204,2026-03-18,2026-03-22,247,4305.3,OPEN
PO-1028,S-07,P-204,2026-03-09,2026-03-16,333,4688.62,RECEIVED
PO-1029,S-07,P-204,2026-03-29,2026-04-12,108,4545.37,CLOSED
PO-1030,S-07,P-204,2026-04-07,2026-04-14,443,4512.77,RECEIVED
PO-1031,S-07,P-204,2026-02-07,2026-02-16,130,4362.98,CLOSED
PO-1032,S-07,P-204,2026-04-03,2026-04-10,306,4609.57,CLOSED
PO-1033,S-07,P-204,2026-01-14,2026-01-27,202,4673.34,CLOSED
PO-1034,S-07,P-204,2026-03-19,2026-03-25,128,4299.13,RECEIVED
PO-1035,S-07,P-204,2026-03-11,2026-03-22,50,4479.16,OPEN
PO-1036,S-07,P-204,2026-01-03,2026-01-07,235,4702.98,OPEN
PO-1037,S-07,P-204,2026-01-31,2026-02-03,173,4702.41,RECEIVED
PO-1038,S-07,P-204,2026-01-11,2026-01-25,298,4652.82,CLOSED
PO-1039,S-07,P-204,2026-04-09,2026-04-14,115,4527.8,CLOSED
