so_id,customer_id,product_id,order_date,due_date,quantity,status
SO-2000,C-001,PROD-B,2026-03-09,2026-04-04,128,OPEN
SO-2001,C-003,PROD-A,2026-04-02,2026-04-18,122,DELAYED
SO-2002,C-003,PROD-B,2026-02-26,2026-03-21,135,OPEN
SO-2003,C-001,PROD-A,2026-01-09,2026-01-26,25,DELAYED
SO-2004,C-003,PROD-A,2026-03-17,2026-03-31,21,OPEN
SO-2005,C-003,PROD-A,2026-01-30,2026-02-08,28,CLOSED
SO-2006,C-001,PROD-A,2026-02-05,2026-03-05,144,OPEN
SO-2007,C-003,PROD-A,2026-04-03,2026-04-28,167,CLOSED
SO-2008,C-001,PROD-B,2026-04-14,2026-05-04,68,OPEN
SO-2009,C-001,PROD-B,2026-02-15,2026-03-07,125,CLOSED
SO-2010,C-003,PROD-A,2026-03-28,2026-04-24,185,OPEN
SO-2011,C-001,PROD-B,2026-04-04,2026-04-21,47,OPEN
SO-2012,C-001,PROD-A,2026-03-10,2026-03-31,55,CLOSED
SO-2013,C-001,PROD-B,2026-03-01,2026-03-15,39,CLOSED
SO-2014,C-003,PROD-A,2026-01-07,2026-02-03,158,OPEN
SO-2015,C-001,PROD-A,2026-01-22,2026-02-11,144,CLOSED
SO-2016,C-001,PROD-B,2026-01-08,2026-01-20,117,OPEN
SO-2017,C-002,PROD-B,2026-04-11,2026-05-02,93,CLOSED
SO-2018,C-003,PROD-B,2026-01-20,2026-02-02,95,OPEN
SO-2019,C-001,PROD-A,2026-04-06,2026-04-23,34,OPEN
SO-2020,C-003,PROD-B,2026-03-06,2026-03-29,60,OPEN
SO-2021,C-003,PROD-A,2026-04-19,2026-05-01,37,DELAYED
SO-2022,C-001,PROD-A,2026-02-21,2026-03-03,165,OPEN
SO-2023,C-003,PROD-A,2026-03-21,2026-03-30,127,DELAYED
SO-2024,C-003,PROD-B,2026-02-03,2026-02-16,191,DELAYED
SO-2025,C-002,PROD-A,2026-02-03,2026-02-22,53,DELAYED
SO-2026,C-003,PROD-B,2026-02-28,2026-03-17,38,OPEN
SO-2027,C-002,PROD-A,2026-01-10,2026-02-03,74,DELAYED
SO-2028,C-002,PROD-A,2026-02-14,2026-02-23,82,CLOSED
SO-2029,C-002,PROD-A,2026-02-26,2026-03-22,200,CLOSED
