defect_id,lot_id,product_id,process_id,equipment_id,defect_type,defect_qty,detected_at
DEF-7000,LOT-L24000,PROD-A,PR-01,EQ-01,Solder Crack,1,2026-01-01T00:00:00
DEF-7001,LOT-L24000,PROD-A,PR-02,EQ-02,Misalignment,2,2026-01-01T00:00:00
DEF-7002,LOT-L24000,PROD-A,PR-03,EQ-11,Solder Crack,2,2026-01-01T00:00:00
DEF-7003,LOT-L24000,PROD-A,PR-04,EQ-21,Solder Crack,2,2026-01-01T00:00:00
DEF-7004,LOT-L24001,PROD-A,PR-01,EQ-01,Cosmetic Scratch,4,2026-01-04T00:00:00
DEF-7005,LOT-L24001,PROD-A,PR-02,EQ-02,Misalignment,2,2026-01-04T00:00:00
DEF-7006,LOT-L24001,PROD-A,PR-03,EQ-12,Solder Crack,1,2026-01-04T00:00:00
DEF-7007,LOT-L24001,PROD-A,PR-04,EQ-21,Cosmetic Scratch,4,2026-01-04T00:00:00
DEF-7008,LOT-L24002,PROD-A,PR-01,EQ-01,Cosmetic Scratch,1,2026-01-07T00:00:00
DEF-7009,LOT-L24002,PROD-A,PR-02,EQ-02,Solder Crack,3,2026-01-07T00:00:00
DEF-7010,LOT-L24002,PROD-A,PR-03,EQ-12,Solder Crack,2,2026-01-07T00:00:00
DEF-7011,LOT-L24002,PROD-A,PR-04,EQ-21,Solder Crack,3,2026-01-07T00:00:00
DEF-7012,LOT-L24003,PROD-A,PR-01,EQ-01,Misalignment,2,2026-01-10T00:00:00
DEF-7013,LOT-L24003,PROD-A,PR-02,EQ-02,Misalignment,2,2026-01-10T00:00:00
DEF-7014,LOT-L24003,PROD-A,PR-03,EQ-12,Solder Crack,2,2026-01-10T00:00:00
DEF-7015,LOT-L24003,PROD-A,PR-04,EQ-21,Open Circuit,1,2026-01-10T00:00:00
DEF-7016,LOT-L24004,PROD-A,PR-01,EQ-01,Misalignment,2,2026-01-13T00:00:00
DEF-7017,LOT-L24004,PROD-A,PR-02,EQ-02,Cosmetic Scratch,2,2026-01-13T00:00:00
DEF-7018,LOT-L24004,PROD-A,PR-03,EQ-11,Misalignment,2,2026-01-13T00:00:00
DEF-7019,LOT-L24004,PROD-A,PR-04,EQ-21,Cosmetic Scratch,1,2026-01-13T00:00:00
DEF-7020,LOT-L24005,PROD-A,PR-01,EQ-01,Open Circuit,4,2026-01-16T00:00:00
DEF-7021,LOT-L24005,PROD-A,PR-02,EQ-02,Cosmetic Scratch,2,2026-01-16T00:00:00
DEF-7022,LOT-L24005,PROD-A,PR-03,EQ-11,Open Circuit,3,2026-01-16T00:00:00
DEF-7023,LOT-L24005,PROD-A,PR-04,EQ-21,Open Circuit,1,2026-01-16T00:00:00
DEF-7024,LOT-L24006,PROD-A,PR-01,EQ-01,Open Circuit,3,2026-01-19T00:00:00
DEF-7025,LOT-L24006,PROD-A,PR-02,EQ-02,Open Circuit,3,2026-01-19T00:00:00
DEF-7026,LOT-L24006,PROD-A,PR-03,EQ-11,Solder Crack,4,2026-01-19T00:00:00
DEF-7027,LOT-L24006,PROD-A,PR-04,EQ-21,Open Circuit,2,2026-01-19T00:00:00
DEF-7028,LOT-L24007,PROD-A,PR-01,EQ-01,Misalignment,1,2026-01-22T00:00:00
DEF-7029,LOT-L24007,PROD-A,PR-02,EQ-02,Misalignment,1,2026-01-22T00:00:00
DEF-7030,LOT-L24007,PROD-A,PR-03,EQ-11,Misalignment,1,2026-01-22T00:00:00
DEF-7031,LOT-L24007,PROD-A,PR-04,EQ-21,Open Circuit,1,2026-01-22T00:00:00
DEF-7032,LOT-L24008,PROD-A,PR-01,EQ-01,Cosmetic Scratch,2,2026-01-25T00:00:00
DEF-7033,LOT-L24008,PROD-A,PR-02,EQ-02,Open Circuit,4,2026-01-25T00:00:00
DEF-7034,LOT-L24008,PROD-A,PR-03,EQ-11,Open Circuit,3,2026-01-25T00:00:00
DEF-7035,LOT-L24008,PROD-A,PR-04,EQ-21,Open Circuit,3,2026-01-25T00:00:00
DEF-7036,LOT-L24009,PROD-A,PR-01,EQ-01,Solder Crack,2,2026-01-28T00:00:00
DEF-7037,LOT-L24009,PROD-A,PR-02,EQ-02,Misalignment,3,2026-01-28T00:00:00
DEF-7038,LOT-L24009,PROD-A,PR-03,EQ-12,Open Circuit,2,2026-01-28T00:00:00
DEF-7039,LOT-L24009,PROD-A,PR-04,EQ-21,Cosmetic Scratch,3,2026-01-28T00:00:00
DEF-7040,LOT-L24010,PROD-A,PR-01,EQ-01,Solder Crack,3,2026-01-31T00:00:00
DEF-7041,LOT-L24010,PROD-A,PR-02,EQ-02,Solder Crack,2,2026-01-31T00:00:00
DEF-7042,LOT-L24010,PROD-A,PR-03,EQ-12,Open Circuit,4,2026-01-31T00:00:00
DEF-7043,LOT-L24010,PROD-A,PR-04,EQ-21,Cosmetic Scratch,2,2026-01-31T00:00:00
DEF-7044,LOT-L24011,PROD-A,PR-01,EQ-01,Cosmetic Scratch,1,2026-02-03T00:00:00
DEF-7045,LOT-L24011,PROD-A,PR-02,EQ-02,Misalignment,2,2026-02-03T00:00:00
DEF-7046,LOT-L24011,PROD-A,PR-03,EQ-11,Open Circuit,2,2026-02-03T00:00:00
DEF-7047,LOT-L24011,PROD-A,PR-04,EQ-21,Open Circuit,2,2026-02-03T00:00:00
DEF-7048,LOT-L24012,PROD-A,PR-01,EQ-01,Misalignment,1,2026-02-06T00:00:00
DEF-7049,LOT-L24012,PROD-A,PR-02,EQ-02,Solder Crack,1,2026-02-06T00:00:00
DEF-7050,LOT-L24012,PROD-A,PR-03,EQ-12,Cosmetic Scratch,3,2026-02-06T00:00:00
