lot_id,product_id,work_order_id,start_time,end_time,status
LOT-L24000,PROD-A,WO-5000,2026-01-01T08:00:00,2026-01-01T18:00:00,CLOSED
LOT-L24001,PROD-A,WO-5000,2026-01-04T08:00:00,2026-01-04T18:00:00,CLOSED
LOT-L24002,PROD-A,WO-5001,2026-01-07T08:00:00,2026-01-07T18:00:00,CLOSED
LOT-L24003,PROD-A,WO-5001,2026-01-10T08:00:00,2026-01-10T18:00:00,CLOSED
LOT-L24004,PROD-A,WO-5002,2026-01-13T08:00:00,2026-01-13T18:00:00,CLOSED
LOT-L24005,PROD-A,WO-5002,2026-01-16T08:00:00,2026-01-16T18:00:00,CLOSED
LOT-L24006,PROD-A,WO-5003,2026-01-19T08:00:00,2026-01-19T18:00:00,CLOSED
LOT-L24007,PROD-A,WO-5003,2026-01-22T08:00:00,2026-01-22T18:00:00,CLOSED
LOT-L24008,PROD-A,WO-5004,2026-01-25T08:00:00,2026-01-25T18:00:00,CLOSED
LOT-L24009,PROD-A,WO-5004,2026-01-28T08:00:00,2026-01-28T18:00:00,CLOSED
LOT-L24010,PROD-A,WO-5005,2026-01-31T08:00:00,2026-01-31T18:00:00,CLOSED
LOT-L24011,PROD-A,WO-5005,2026-02-03T08:00:00,2026-02-03T18:00:00,CLOSED
LOT-L24012,PROD-A,WO-5006,2026-02-06T08:00:00,2026-02-06T18:00:00,CLOSED
LOT-L24013,PROD-A,WO-5006,2026-02-09T08:00:00,2026-02-09T18:00:00,CLOSED
LOT-L24014,PROD-A,WO-5007,2026-02-12T08:00:00,2026-02-12T18:00:00,CLOSED
LOT-L24015,PROD-A,WO-5007,2026-02-15T08:00:00,2026-02-15T18:00:00,CLOSED
LOT-L24016,PROD-A,WO-5008,2026-02-18T08:00:00,2026-02-18T18:00:00,CLOSED
LOT-L24017,PROD-A,WO-5008,2026-02-21T08:00:00,2026-02-21T18:00:00,CLOSED
LOT-L24018,PROD-A,WO-5009,2026-02-24T08:00:00,2026-02-24T18:00:00,CLOSED
LOT-L24019,PROD-A,WO-5009,2026-02-27T08:00:00,2026-02-27T18:00:00,CLOSED
LOT-L24020,PROD-A,WO-5010,2026-03-02T08:00:00,2026-03-02T18:00:00,CLOSED
LOT-L24021,PROD-A,WO-5010,2026-03-05T08:00:00,2026-03-05T18:00:00,CLOSED
LOT-L24022,PROD-A,WO-5011,2026-03-08T08:00:00,2026-03-08T18:00:00,CLOSED
LOT-L24023,PROD-A,WO-5011,2026-03-11T08:00:00,2026-03-11T18:00:00,CLOSED
LOT-L24024,PROD-A,WO-5012,2026-03-14T08:00:00,2026-03-14T18:00:00,CLOSED
LOT-L24025,PROD-A,WO-5012,2026-03-17T08:00:00,2026-03-17T18:00:00,CLOSED
LOT-L24026,PROD-A,WO-5013,2026-03-20T08:00:00,2026-03-20T18:00:00,CLOSED
LOT-L24027,PROD-A,WO-5013,2026-03-23T08:00:00,2026-03-23T18:00:00,CLOSED
LOT-L24028,PROD-B,WO-5014,2026-03-26T08:00:00,2026-03-26T18:00:00,CLOSED
LOT-L24029,PROD-B,WO-5014,2026-03-29T08:00:00,2026-03-29T18:00:00,CLOSED
LOT-L24030,PROD-B,WO-5015,2026-04-01T08:00:00,2026-04-01T18:00:00,CLOSED
LOT-L24031,PROD-B,WO-5015,2026-04-04T08:00:00,2026-04-04T18:00:00,CLOSED
LOT-L24032,PROD-B,WO-5016,2026-04-07T08:00:00,2026-04-07T18:00:00,CLOSED
LOT-L24033,PROD-B,WO-5016,2026-04-10T08:00:00,2026-04-10T18:00:00,CLOSED
LOT-L24034,PROD-B,WO-5017,2026-04-13T08:00:00,2026-04-13T18:00:00,CLOSED
LOT-L24035,PROD-B,WO-5017,2026-04-16T08:00:00,2026-04-16T18:00:00,CLOSED
LOT-L24036,PROD-B,WO-5018,2026-04-19T08:00:00,2026-04-19T18:00:00,CLOSED
LOT-L24037,PROD-B,WO-5018,2026-04-22T08:00:00,2026-04-22T18:00:00,CLOSED
LOT-L24038,PROD-B,WO-5019,2026-04-25T08:00:00,2026-04-25T18:00:00,CLOSED
LOT-L24039,PROD-B,WO-5019,2026-04-28T08:00:00,2026-04-28T18:00:00,CLOSED
