result_id,work_order_id,product_id,lot_id,process_id,equipment_id,production_date,shift,produced_qty,defect_qty
RESULT-6000,WO-5000,PROD-A,LOT-L24000,PR-01,EQ-01,2026-01-01,NIGHT,108,1
RESULT-6001,WO-5000,PROD-A,LOT-L24000,PR-02,EQ-02,2026-01-01,DAY,119,2
RESULT-6002,WO-5000,PROD-A,LOT-L24000,PR-03,EQ-11,2026-01-01,NIGHT,164,2
RESULT-6003,WO-5000,PROD-A,LOT-L24000,PR-04,EQ-21,2026-01-01,NIGHT,190,2
RESULT-6004,WO-5000,PROD-A,LOT-L24001,PR-01,EQ-01,2026-01-04,NIGHT,166,4
RESULT-6005,WO-5000,PROD-A,LOT-L24001,PR-02,EQ-02,2026-01-04,NIGHT,94,2
RESULT-6006,WO-5000,PROD-A,LOT-L24001,PR-03,EQ-12,2026-01-04,NIGHT,84,1
RESULT-6007,WO-5000,PROD-A,LOT-L24001,PR-04,EQ-21,2026-01-04,NIGHT,173,4
RESULT-6008,WO-5001,PROD-A,LOT-L24002,PR-01,EQ-01,2026-01-07,NIGHT,104,1
RESULT-6009,WO-5001,PROD-A,LOT-L24002,PR-02,EQ-02,2026-01-07,DAY,146,3
RESULT-6010,WO-5001,PROD-A,LOT-L24002,PR-03,EQ-12,2026-01-07,NIGHT,88,2
RESULT-6011,WO-5001,PROD-A,LOT-L24002,PR-04,EQ-21,2026-01-07,NIGHT,164,3
RESULT-6012,WO-5001,PROD-A,LOT-L24003,PR-01,EQ-01,2026-01-10,DAY,131,2
RESULT-6013,WO-5001,PROD-A,LOT-L24003,PR-02,EQ-02,2026-01-10,NIGHT,133,2
RESULT-6014,WO-5001,PROD-A,LOT-L24003,PR-03,EQ-12,2026-01-10,DAY,131,2
RESULT-6015,WO-5001,PROD-A,LOT-L24003,PR-04,EQ-21,2026-01-10,NIGHT,116,1
RESULT-6016,WO-5002,PROD-A,LOT-L24004,PR-01,EQ-01,2026-01-13,NIGHT,166,2
RESULT-6017,WO-5002,PROD-A,LOT-L24004,PR-02,EQ-02,2026-01-13,NIGHT,164,2
RESULT-6018,WO-5002,PROD-A,LOT-L24004,PR-03,EQ-11,2026-01-13,DAY,166,2
RESULT-6019,WO-5002,PROD-A,LOT-L24004,PR-04,EQ-21,2026-01-13,NIGHT,83,1
RESULT-6020,WO-5002,PROD-A,LOT-L24005,PR-01,EQ-01,2026-01-16,DAY,193,4
RESULT-6021,WO-5002,PROD-A,LOT-L24005,PR-02,EQ-02,2026-01-16,DAY,143,2
RESULT-6022,WO-5002,PROD-A,LOT-L24005,PR-03,EQ-11,2026-01-16,DAY,179,3
RESULT-6023,WO-5002,PROD-A,LOT-L24005,PR-04,EQ-21,2026-01-16,DAY,86,1
RESULT-6024,WO-5003,PROD-A,LOT-L24006,PR-01,EQ-01,2026-01-19,NIGHT,139,3
RESULT-6025,WO-5003,PROD-A,LOT-L24006,PR-02,EQ-02,2026-01-19,NIGHT,158,3
RESULT-6026,WO-5003,PROD-A,LOT-L24006,PR-03,EQ-11,2026-01-19,NIGHT,175,4
RESULT-6027,WO-5003,PROD-A,LOT-L24006,PR-04,EQ-21,2026-01-19,NIGHT,176,2
RESULT-6028,WO-5003,PROD-A,LOT-L24007,PR-01,EQ-01,2026-01-22,NIGHT,136,1
RESULT-6029,WO-5003,PROD-A,LOT-L24007,PR-02,EQ-02,2026-01-22,DAY,114,1
RESULT-6030,WO-5003,PROD-A,LOT-L24007,PR-03,EQ-11,2026-01-22,DAY,109,1
RESULT-6031,WO-5003,PROD-A,LOT-L24007,PR-04,EQ-21,2026-01-22,NIGHT,88,1
RESULT-6032,WO-5004,PROD-A,LOT-L24008,PR-01,EQ-01,2026-01-25,NIGHT,106,2
RESULT-6033,WO-5004,PROD-A,LOT-L24008,PR-02,EQ-02,2026-01-25,NIGHT,189,4
RESULT-6034,WO-5004,PROD-A,LOT-L24008,PR-03,EQ-11,2026-01-25,NIGHT,200,3
RESULT-6035,WO-5004,PROD-A,LOT-L24008,PR-04,EQ-21,2026-01-25,DAY,148,3
RESULT-6036,WO-5004,PROD-A,LOT-L24009,PR-01,EQ-01,2026-01-28,NIGHT,135,2
RESULT-6037,WO-5004,PROD-A,LOT-L24009,PR-02,EQ-02,2026-01-28,NIGHT,165,3
RESULT-6038,WO-5004,PROD-A,LOT-L24009,PR-03,EQ-12,2026-01-28,DAY,197,2
RESULT-6039,WO-5004,PROD-A,LOT-L24009,PR-04,EQ-21,2026-01-28,DAY,155,3
RESULT-6040,WO-5005,PROD-A,LOT-L24010,PR-01,EQ-01,2026-01-31,DAY,190,3
RESULT-6041,WO-5005,PROD-A,LOT-L24010,PR-02,EQ-02,2026-01-31,NIGHT,128,2
RESULT-6042,WO-5005,PROD-A,LOT-L24010,PR-03,EQ-12,2026-01-31,NIGHT,177,4
RESULT-6043,WO-5005,PROD-A,LOT-L24010,PR-04,EQ-21,2026-01-31,NIGHT,112,2
RESULT-6044,WO-5005,PROD-A,LOT-L24011,PR-01,EQ-01,2026-02-03,DAY,124,1
RESULT-6045,WO-5005,PROD-A,LOT-L24011,PR-02,EQ-02,2026-02-03,DAY,176,2
RESULT-6046,WO-5005,PROD-A,LOT-L24011,PR-03,EQ-11,2026-02-03,DAY,159,2
RESULT-6047,WO-5005,PROD-A,LOT-L24011,PR-04,EQ-21,2026-02-03,DAY,165,2
RESULT-6048,WO-5006,PROD-A,LOT-L24012,PR-01,EQ-01,2026-02-06,DAY,127,1
RESULT-6049,WO-5006,PROD-A,LOT-L24012,PR-02,EQ-02,2026-02-06,DAY,119,1
RESULT-6050,WO-5006,PROD-A,LOT-L24012,PR-03,EQ-12,2026-02-06,DAY,130,3
RESULT-6051,WO-5006,PROD-A,LOT-L24012,PR-04,EQ-21,2026-02-06,DAY,155,3
RESULT-6052,WO-5006,PROD-A,LOT-L24013,PR-01,EQ-01,2026-02-09,DAY,156,3
RESULT-6053,WO-5006,PROD-A,LOT-L24013,PR-02,EQ-02,2026-02-09,NIGHT,148,2
RESULT-6054,WO-5006,PROD-A,LOT-L24013,PR-03,EQ-12,2026-02-09,NIGHT,81,1
RESULT-6055,WO-5006,PROD-A,LOT-L24013,PR-04,EQ-21,2026-02-09,NIGHT,135,3
RESULT-6056,WO-5007,PROD-A,LOT-L24014,PR-01,EQ-01,2026-02-12,NIGHT,173,3
RESULT-6057,WO-5007,PROD-A,LOT-L24014,PR-02,EQ-02,2026-02-12,NIGHT,139,2
RESULT-6058,WO-5007,PROD-A,LOT-L24014,PR-03,EQ-11,2026-02-12,NIGHT,186,4
RESULT-6059,WO-5007,PROD-A,LOT-L24014,PR-04,EQ-21,2026-02-12,NIGHT,111,2
RESULT-6060,WO-5007,PROD-A,LOT-L24015,PR-01,EQ-01,2026-02-15,NIGHT,188,3
RESULT-6061,WO-5007,PROD-A,LOT-L24015,PR-02,EQ-02,2026-02-15,NIGHT,125,2
RESULT-6062,WO-5007,PROD-A,LOT-L24015,PR-03,EQ-12,2026-02-15,DAY,151,1
