inspection_id,lot_id,product_id,inspector,inspected_at,pass_qty,fail_qty
INS-9000,LOT-L24000,PROD-A,qa.team,2026-01-01T00:00:00,280,6
INS-9001,LOT-L24001,PROD-A,qa.team,2026-01-04T00:00:00,248,9
INS-9002,LOT-L24002,PROD-A,qa.team,2026-01-07T00:00:00,254,5
INS-9003,LOT-L24003,PROD-A,qa.team,2026-01-10T00:00:00,263,7
INS-9004,LOT-L24004,PROD-A,qa.team,2026-01-13T00:00:00,266,6
INS-9005,LOT-L24005,PROD-A,qa.team,2026-01-16T00:00:00,184,12
INS-9006,LOT-L24006,PROD-A,qa.team,2026-01-19T00:00:00,211,4
INS-9007,LOT-L24007,PROD-A,qa.team,2026-01-22T00:00:00,256,0
INS-9008,LOT-L24008,PROD-A,qa.team,2026-01-25T00:00:00,206,4
INS-9009,LOT-L24009,PROD-A,qa.team,2026-01-28T00:00:00,259,2
INS-9010,LOT-L24010,PROD-A,qa.team,2026-01-31T00:00:00,288,0
INS-9011,LOT-L24011,PROD-A,qa.team,2026-02-03T00:00:00,215,12
INS-9012,LOT-L24012,PROD-A,qa.team,2026-02-06T00:00:00,227,10
INS-9013,LOT-L24013,PROD-A,qa.team,2026-02-09T00:00:00,261,2
INS-9014,LOT-L24014,PROD-A,qa.team,2026-02-12T00:00:00,157,7
INS-9015,LOT-L24015,PROD-A,qa.team,2026-02-15T00:00:00,271,10
INS-9016,LOT-L24016,PROD-A,qa.team,2026-02-18T00:00:00,219,4
INS-9017,LOT-L24017,PROD-A,qa.team,2026-02-21T00:00:00,195,4
INS-9018,LOT-L24018,PROD-A,qa.team,2026-02-24T00:00:00,214,7
INS-9019,LOT-L24019,PROD-A,qa.team,2026-02-27T00:00:00,283,6
INS-9020,LOT-L24020,PROD-A,qa.team,2026-03-02T00:00:00,150,6
INS-9021,LOT-L24021,PROD-A,qa.team,2026-03-05T00:00:00,179,8
INS-9022,LOT-L24022,PROD-A,qa.team,2026-03-08T00:00:00,170,9
INS-9023,LOT-L24023,PROD-A,qa.team,2026-03-11T00:00:00,299,6
INS-9024,LOT-L24024,PROD-A,qa.team,2026-03-14T00:00:00,266,1
INS-9025,LOT-L24025,PROD-A,qa.team,2026-03-17T00:00:00,218,8
INS-9026,LOT-L24026,PROD-A,qa.team,2026-03-20T00:00:00,180,10
INS-9027,LOT-L24027,PROD-A,qa.team,2026-03-23T00:00:00,279,4
INS-9028,LOT-L24028,PROD-B,qa.team,2026-03-26T00:00:00,296,6
INS-9029,LOT-L24029,PROD-B,qa.team,2026-03-29T00:00:00,284,7
INS-9030,LOT-L24030,PROD-B,qa.team,2026-04-01T00:00:00,167,3
INS-9031,LOT-L24031,PROD-B,qa.team,2026-04-04T00:00:00,245,6
INS-9032,LOT-L24032,PROD-B,qa.team,2026-04-07T00:00:00,269,4
INS-9033,LOT-L24033,PROD-B,qa.team,2026-04-10T00:00:00,296,5
INS-9034,LOT-L24034,PROD-B,qa.team,2026-04-13T00:00:00,198,9
INS-9035,LOT-L24035,PROD-B,qa.team,2026-04-16T00:00:00,201,2
INS-9036,LOT-L24036,PROD-B,qa.team,2026-04-19T00:00:00,173,12
INS-9037,LOT-L24037,PROD-B,qa.team,2026-04-22T00:00:00,166,10
INS-9038,LOT-L24038,PROD-B,qa.team,2026-04-25T00:00:00,256,10
INS-9039,LOT-L24039,PROD-B,qa.team,2026-04-28T00:00:00,251,4
