work_order_id,product_id,planned_qty,start_date,end_date,status
WO-5000,PROD-A,122,2026-01-01,2026-01-05,CLOSED
WO-5001,PROD-A,180,2026-01-07,2026-01-11,CLOSED
WO-5002,PROD-A,199,2026-01-13,2026-01-17,CLOSED
WO-5003,PROD-A,132,2026-01-19,2026-01-23,CLOSED
WO-5004,PROD-A,182,2026-01-25,2026-01-29,CLOSED
WO-5005,PROD-A,165,2026-01-31,2026-02-04,CLOSED
WO-5006,PROD-A,190,2026-02-06,2026-02-10,CLOSED
WO-5007,PROD-A,174,2026-02-12,2026-02-16,CLOSED
WO-5008,PROD-A,183,2026-02-18,2026-02-22,CLOSED
WO-5009,PROD-A,111,2026-02-24,2026-02-28,CLOSED
WO-5010,PROD-A,114,2026-03-02,2026-03-06,CLOSED
WO-5011,PROD-A,100,2026-03-08,2026-03-12,CLOSED
WO-5012,PROD-A,180,2026-03-14,2026-03-18,CLOSED
WO-5013,PROD-A,169,2026-03-20,2026-03-24,CLOSED
WO-5014,PROD-B,93,2026-03-26,2026-03-30,CLOSED
WO-5015,PROD-B,128,2026-04-01,2026-04-05,CLOSED
WO-5016,PROD-B,191,2026-04-07,2026-04-11,CLOSED
WO-5017,PROD-B,84,2026-04-13,2026-04-17,CLOSED
WO-5018,PROD-B,189,2026-04-19,2026-04-23,CLOSED
WO-5019,PROD-B,140,2026-04-25,2026-04-29,CLOSED
